Date,Close,RSI
2015-12-31,105.26,
2016-01-29,97.34,
2016-02-29,96.69,
2016-03-31,108.99,
2016-04-29,93.74,
2016-05-31,99.86,
2016-06-30,95.6,
2016-07-29,104.21,
2016-08-31,106.1,
2016-09-30,113.05,
2016-10-31,113.54,
2016-11-30,110.52,
2016-12-30,115.82,
2017-01-31,121.35,60.27589730489206
2017-02-28,136.99,66.89023741083786
2017-03-31,143.66,74.9892101855848
2017-04-28,143.65,75.51064754454585
2017-05-31,152.76,74.63140123804163
2017-06-30,144.02,80.53194073354385
2017-07-31,148.73,80.19275917459534
2017-08-31,164.0,87.19817272134001
2017-09-29,154.12,76.77287844651863
2017-10-31,169.04,79.62161144578315
2017-11-30,171.85,78.79529872673851
2017-12-29,169.23,76.714957305958
2018-01-31,167.43,77.62353169595187
2018-02-28,178.12,78.73616236162364
2018-03-29,167.78,70.50613903365429
2018-04-30,165.26,64.12228993905485
2018-05-31,186.87,68.78205685473355
2018-06-29,185.11,67.75132728206886
2018-07-31,190.29,66.62826761187418
2018-08-31,227.63,79.55461293743372
2018-09-28,225.74,77.77537329582343
2018-10-31,218.86,71.06111793611795
2018-11-30,178.58,57.613296812749006
2018-12-31,157.74,46.60782901056676
2019-01-31,166.44,48.43142939982604
2019-02-28,173.15,51.11022997620936
2019-03-29,189.95,55.878667641223764
2019-04-30,200.67,55.88557707365453
2019-05-31,175.07,51.762316878595946
2019-06-28,197.92,57.188765627751366
2019-07-31,213.04,55.929668736121805
2019-08-30,208.74,55.293221629855296
2019-09-30,223.97,57.2194118151419
2019-10-31,248.76,54.78682433963119
2019-11-29,267.25,58.74594412372003
2019-12-31,293.65,64.5602149281626
2020-01-31,309.51,78.16789294780776
2020-02-28,273.36,73.33683190699178
2020-03-31,254.29,67.01925684838622
2020-04-30,293.8,70.73807968647944
2020-05-29,317.94,71.45827046239481
2020-06-30,364.8,74.54317073900171
2020-07-31,425.04,83.87035581691553
2020-08-31,129.04,44.63685062912669
2020-09-30,115.81,42.40710950067939
2020-10-30,108.86,42.23231506252721
2020-11-30,119.05,41.775882611149434
2020-12-31,132.69,40.74003159255182
2021-01-29,131.96,38.89189943675386
2021-02-26,121.26,35.471201982234064
2021-03-31,122.15,33.80079543489538
2021-04-30,131.46,37.13415297573713
2021-05-28,124.61,37.97566946072251
2021-06-30,136.96,34.68598656459929
2021-07-30,145.86,32.6825537396345
2021-08-31,151.83,26.645465511569256
2021-09-30,141.5,15.084720717170725
2021-10-29,149.8,58.771336826094306
2021-11-30,165.3,70.51654091700522
2021-12-31,177.57,77.28102914317478
2022-01-31,174.78,73.5088163334177
2022-02-28,165.12,64.15539065910083
2022-03-31,174.61,67.29381234287568
2022-04-29,157.65,64.04260245427182
2022-05-31,148.84,59.70616044803258
2022-06-30,136.72,51.87455452601567
2022-07-29,162.51,61.900276312484294
2022-08-31,157.22,56.65659087922197
2022-09-30,138.2,47.640172520024635
2022-10-31,153.34,50.44031025835422
2022-11-30,148.03,51.96155001501953
2022-12-30,129.93,44.36312056737589
2023-01-31,144.29,44.00091371138141
2023-02-28,147.41,40.91347312605447
2023-03-31,164.9,47.26558175578435
2023-04-28,169.68,51.297075890317444
2023-05-31,177.25,50.75923156562751
2023-06-30,193.97,60.45962446722727
2023-07-31,196.45,64.2297806204794
2023-08-31,187.87,65.61832061068702
2023-09-29,171.21,52.813348855258056
2023-10-31,170.77,54.52360285771516
2023-11-30,189.95,67.2580537584206
2023-12-29,192.53,64.26439542840504
2024-01-31,184.4,62.9716812896783
2024-02-29,180.75,70.20836647049467
2024-03-28,171.48,61.26813095731455
2024-04-30,170.33,59.65621840242671
2024-05-31,192.25,61.10795223783608
2024-06-28,210.62,64.97439648866131
2024-07-31,222.08,65.94352372145957
2024-08-30,229.0,63.3916966128909
2024-09-30,233.0,63.812259088504284
2024-10-31,225.91,64.53906130561077
2024-11-29,237.33,76.3258480649785
2024-12-31,250.42,78.81067785574767
2025-01-31,236.0,67.25106765565297
2025-02-28,241.84,68.03188766181526
2025-03-31,222.13,62.71997842357224
2025-04-30,212.5,60.289066044461734
2025-05-30,200.85,59.373204825429255
2025-06-30,205.17,60.89839839839839
2025-07-31,207.57,55.45895096921323
2025-08-29,232.14,57.34370734370734
2025-09-30,254.63,60.330053951126615
2025-10-31,270.37,62.43313097313218
2025-11-17,267.46,60.42473378509196
